Order ID,Product ID,Order Date,Ship Date,Delivery_days,Order_Month,Order_Year,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Revenue,Quantity,Discount,Profit,Profit_margin,,,,,,,,,,
CA-2013-137330,OFF-AP-10001492,10-12-2013,14-12-2013,4,12,2013,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.69,26%,,,,,,,,,,
US-2014-156909,FUR-CH-10002774,17-07-2014,19-07-2014,2,7,2014,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2,0.3,-1.02,-1%,,,,,,,,,,
CA-2012-106320,FUR-TA-10000577,25-09-2012,30-09-2012,5,9,2012,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.26,23%,,,,,,,,,,
CA-2013-121755,OFF-BI-10001634,16-01-2013,20-01-2013,4,1,2013,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2,0.2,4.22,36%,,,,,,,,,,
CA-2013-121755,TEC-AC-10003027,16-01-2013,20-01-2013,4,1,2013,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.77,13%,,,,,,,,,,
US-2012-150630,FUR-BO-10004834,17-09-2012,21-09-2012,4,9,2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.05,-54%,,,,,,,,,,
US-2012-150630,OFF-BI-10000474,17-09-2012,21-09-2012,4,9,2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,0.7,-7.05,-73%,,,,,,,,,,
US-2012-150630,FUR-FU-10004848,17-09-2012,21-09-2012,4,9,2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,3,0.2,15.53,13%,,,,,,,,,,
US-2012-150630,OFF-EN-10001509,17-09-2012,21-09-2012,4,9,2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2,0.2,1.10,34%,,,,,,,,,,
US-2012-150630,OFF-AR-10004042,17-09-2012,21-09-2012,4,9,2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,6,0.2,9.71,11%,,,,,,,,,,
US-2012-150630,OFF-BI-10001525,17-09-2012,21-09-2012,4,9,2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6,0.7,-5.72,-83%,,,,,,,,,,
US-2012-150630,OFF-AR-10001683,17-09-2012,21-09-2012,4,9,2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.55,23%,,,,,,,,,,
CA-2014-107727,OFF-PA-10000249,20-10-2014,24-10-2014,4,10,2014,Second Class,MA-17560,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,Staples,29.47,3,0.2,9.95,34%,,,,,,,,,,
CA-2013-117590,TEC-PH-10004977,09-12-2013,11-12-2013,2,12,2013,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.47,11%,,,,,,,,,,
CA-2013-117590,FUR-FU-10003664,09-12-2013,11-12-2013,2,12,2013,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96,-78%,,,,,,,,,,
CA-2012-117415,OFF-EN-10002986,27-12-2012,31-12-2012,4,12,2012,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,0.2,35.42,31%,,,,,,,,,,
CA-2012-117415,FUR-BO-10002545,27-12-2012,31-12-2012,4,12,2012,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3,0.32,-46.98,-9%,,,,,,,,,,
CA-2012-117415,FUR-CH-10004218,27-12-2012,31-12-2012,4,12,2012,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.3,-15.15,-7%,,,,,,,,,,
CA-2012-117415,TEC-PH-10000486,27-12-2012,31-12-2012,4,12,2012,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,4,0.2,41.76,11%,,,,,,,,,,
CA-2014-120999,TEC-PH-10004093,11-09-2014,16-09-2014,5,9,2014,Standard Class,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.17,4,0.2,16.56,11%,,,,,,,,,,
CA-2013-101343,OFF-ST-10003479,18-07-2013,23-07-2013,5,7,2013,Standard Class,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.89,5%,,,,,,,,,,
CA-2014-139619,OFF-ST-10003282,20-09-2014,24-09-2014,4,9,2014,Standard Class,ES-14080,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,9.56,10%,,,,,,,,,,
CA-2013-118255,TEC-AC-10000171,12-03-2013,14-03-2013,2,3,2013,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.77,43%,,,,,,,,,,
CA-2013-118255,OFF-BI-10003291,12-03-2013,14-03-2013,2,3,2013,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.21,47%,,,,,,,,,,
CA-2011-146703,OFF-ST-10001713,20-10-2011,25-10-2011,5,10,2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.48,4%,,,,,,,,,,
CA-2013-169194,TEC-AC-10002167,21-06-2013,26-06-2013,5,6,2013,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,3,0,4.95,11%,,,,,,,,,,
CA-2013-169194,TEC-PH-10003988,21-06-2013,26-06-2013,5,6,2013,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2,0,6.10,28%,,,,,,,,,,
CA-2012-115742,OFF-BI-10004410,18-04-2012,22-04-2012,4,4,2012,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.96,47%,,,,,,,,,,
CA-2012-115742,OFF-LA-10002762,18-04-2012,22-04-2012,4,4,2012,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,6,0,35.33,47%,,,,,,,,,,
CA-2012-115742,FUR-FU-10001706,18-04-2012,22-04-2012,4,4,2012,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.96,48%,,,,,,,,,,
CA-2012-115742,FUR-CH-10003061,18-04-2012,22-04-2012,4,4,2012,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.10,19%,,,,,,,,,,
CA-2013-105816,OFF-FA-10000304,12-12-2013,18-12-2013,6,12,2013,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.26,41%,,,,,,,,,,
CA-2013-105816,TEC-PH-10002447,12-12-2013,18-12-2013,6,12,2013,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.69,29%,,,,,,,,,,
CA-2013-111682,OFF-ST-10000604,18-06-2013,19-06-2013,1,6,2013,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,25%,,,,,,,,,,
CA-2013-111682,OFF-PA-10001569,18-06-2013,19-06-2013,1,6,2013,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.40,5,0,15.55,48%,,,,,,,,,,
CA-2013-111682,FUR-CH-10003968,18-06-2013,19-06-2013,1,6,2013,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.10,2%,,,,,,,,,,
CA-2013-111682,OFF-PA-10000587,18-06-2013,19-06-2013,1,6,2013,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.99,48%,,,,,,,,,,
CA-2013-111682,TEC-AC-10002167,18-06-2013,19-06-2013,1,6,2013,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.00,2,0,3.30,11%,,,,,,,,,,
CA-2013-111682,OFF-BI-10001460,18-06-2013,19-06-2013,1,6,2013,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.36,34%,,,,,,,,,,
CA-2013-111682,OFF-AR-10001868,18-06-2013,19-06-2013,1,6,2013,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,50%,,,,,,,,,,
CA-2012-135545,TEC-AC-10004633,24-11-2012,30-11-2012,6,11,2012,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.15,44%,,,,,,,,,,
CA-2012-135545,OFF-BI-10001078,24-11-2012,30-11-2012,6,11,2012,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,0.2,9.36,36%,,,,,,,,,,
CA-2012-135545,OFF-PA-10003892,24-11-2012,30-11-2012,6,11,2012,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.96,47%,,,,,,,,,,
CA-2012-135545,FUR-FU-10000397,24-11-2012,30-11-2012,6,11,2012,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.33,28%,,,,,,,,,,
US-2012-164175,FUR-CH-10001146,30-04-2012,05-05-2012,5,4,2012,Standard Class,PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.3,-15.22,-7%,,,,,,,,,,
CA-2011-106376,OFF-AR-10002671,05-12-2011,10-12-2011,5,12,2011,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.30,10%,,,,,,,,,,
CA-2011-106376,TEC-PH-10002726,05-12-2011,10-12-2011,5,12,2011,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,4,0.2,62.99,38%,,,,,,,,,,
CA-2013-119823,OFF-PA-10000482,05-06-2013,07-06-2013,2,6,2013,First Class,KD-16270,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.66,47%,,,,,,,,,,
CA-2013-106075,OFF-BI-10004654,19-09-2013,24-09-2013,5,9,2013,Standard Class,HM-14980,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.2,1.73,38%,,,,,,,,,,
CA-2014-114440,OFF-PA-10004675,15-09-2014,18-09-2014,3,9,2014,Second Class,TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.76,46%,,,,,,,,,,
US-2012-134026,FUR-CH-10000513,26-04-2012,02-05-2012,6,4,2012,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8,0.2,-114.39,-14%,,,,,,,,,,
US-2012-134026,FUR-FU-10003708,26-04-2012,02-05-2012,6,4,2012,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.21,1%,,,,,,,,,,
US-2012-134026,OFF-ST-10004123,26-04-2012,02-05-2012,6,4,2012,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1,0.2,-18.20,-25%,,,,,,,,,,
US-2014-118038,OFF-BI-10004182,10-12-2014,12-12-2014,2,12,2014,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.25,3,0.8,-1.93,-155%,,,,,,,,,,
US-2014-118038,FUR-FU-10000260,10-12-2014,12-12-2014,2,12,2014,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3,0.6,-5.82,-60%,,,,,,,,,,
US-2014-118038,OFF-ST-10000615,10-12-2014,12-12-2014,2,12,2014,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.72,10%,,,,,,,,,,
US-2011-147606,FUR-FU-10003194,26-11-2011,01-12-2011,5,11,2011,Second Class,JE-15745,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5,0.6,-14.48,-75%,,,,,,,,,,
CA-2013-127208,OFF-AP-10002118,13-06-2013,16-06-2013,3,6,2013,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.20,27%,,,,,,,,,,
CA-2013-127208,OFF-BI-10002309,13-06-2013,16-06-2013,3,6,2013,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.04,48%,,,,,,,,,,
CA-2011-139451,OFF-AR-10002053,12-10-2011,16-10-2011,4,10,2011,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5,0,4.17,28%,,,,,,,,,,
CA-2011-139451,OFF-ST-10002370,12-10-2011,16-10-2011,4,10,2011,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.20,29%,,,,,,,,,,
CA-2012-149734,OFF-EN-10000927,03-09-2012,08-09-2012,5,9,2012,Standard Class,JC-16105,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7,0.2,62.81,31%,,,,,,,,,,
US-2014-119662,OFF-ST-10003656,14-11-2014,17-11-2014,3,11,2014,First Class,CS-12400,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3,0.2,-48.95,-21%,,,,,,,,,,
CA-2014-140088,FUR-CH-10000863,29-05-2014,31-05-2014,2,5,2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.22,11%,,,,,,,,,,
CA-2014-155558,TEC-AC-10001998,27-10-2014,03-11-2014,7,10,2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.80,34%,,,,,,,,,,
CA-2014-155558,OFF-LA-10000134,27-10-2014,03-11-2014,7,10,2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2,0,2.96,48%,,,,,,,,,,
CA-2013-159695,OFF-ST-10003442,06-04-2013,11-04-2013,5,4,2013,Second Class,GM-14455,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7,0.2,13.86,9%,,,,,,,,,,
CA-2013-109806,OFF-AR-10004930,18-09-2013,23-09-2013,5,9,2013,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,3,0,6.63,33%,,,,,,,,,,
CA-2013-109806,TEC-PH-10004093,18-09-2013,23-09-2013,5,9,2013,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,73.58,2,0.2,8.28,11%,,,,,,,,,,
CA-2013-109806,OFF-PA-10000304,18-09-2013,23-09-2013,5,9,2013,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.11,48%,,,,,,,,,,
CA-2012-149587,OFF-PA-10003177,31-01-2012,05-02-2012,5,1,2012,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.22,48%,,,,,,,,,,
CA-2012-149587,FUR-FU-10003799,31-01-2012,05-02-2012,5,1,2012,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.54,31%,,,,,,,,,,
CA-2012-149587,OFF-BI-10002852,31-01-2012,05-02-2012,5,1,2012,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.15,49%,,,,,,,,,,
US-2014-109484,OFF-BI-10004738,07-11-2014,13-11-2014,6,11,2014,Standard Class,RB-19705,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1,0.7,-3.79,-67%,,,,,,,,,,
CA-2014-161018,FUR-FU-10000629,10-11-2014,12-11-2014,2,11,2014,Second Class,PN-18775,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.54,42%,,,,,,,,,,
CA-2014-157833,OFF-BI-10001721,18-06-2014,21-06-2014,3,6,2014,First Class,KD-16345,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3,0.2,17.96,35%,,,,,,,,,,
CA-2013-149223,OFF-AP-10000358,07-09-2013,12-09-2013,5,9,2013,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.59,29%,,,,,,,,,,
